small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.2,11.0,20.5,4,32.0,10.0,0.9346485819975339,0.8239130434782609,0.87579433853264,758,53,162,10.9,10,0.86489433853264
1.2,11.0,21.0,5,24.0,10.0,0.947103274559194,0.8173913043478261,0.8774795799299884,752,42,168,12.6,10,0.8648795799299884
1.2,11.0,21.0,5,26.0,10.0,0.947103274559194,0.8173913043478261,0.8774795799299884,752,42,168,12.6,10,0.8648795799299884
1.2,11.0,21.0,5,28.0,10.0,0.947103274559194,0.8173913043478261,0.8774795799299884,752,42,168,12.6,10,0.8648795799299884
1.2,7.0,18.0,5,29.0,11.0,0.9176610978520287,0.8358695652173913,0.8748577929465302,769,69,151,10.0,10,0.8648577929465302
1.2,7.0,20.0,5,30.0,10.0,0.9324324324324325,0.825,0.8754325259515571,759,55,161,10.6,10,0.864832525951557
1.2,11.0,20.5,6,33.0,11.0,0.9576923076923077,0.8119565217391305,0.8788235294117647,747,33,173,14.0,10,0.8648235294117647
1.2,7.0,19.5,5,30.0,11.0,0.944792973651192,0.8184782608695652,0.8771112405358183,753,44,167,12.3,10,0.8648112405358184
1.2,11.0,19.5,6,30.0,11.0,0.9368811881188119,0.8228260869565217,0.8761574074074073,757,51,163,11.4,10,0.8647574074074074
1.2,7.0,20.0,6,33.0,11.0,0.9553001277139208,0.8130434782608695,0.8784497944803289,748,35,172,13.7,10,0.8647497944803288
1.2,9.0,21.0,5,31.0,10.0,0.9553001277139208,0.8130434782608695,0.8784497944803289,748,35,172,13.7,10,0.8647497944803288
1.2,9.0,21.0,5,32.0,10.0,0.9553001277139208,0.8130434782608695,0.8784497944803289,748,35,172,13.7,10,0.8647497944803288
1.2,9.0,21.0,5,33.0,10.0,0.9553001277139208,0.8130434782608695,0.8784497944803289,748,35,172,13.7,10,0.8647497944803288
1.2,11.0,18.0,4,31.0,11.0,0.9135071090047393,0.8380434782608696,0.8741496598639454,771,73,149,9.4,10,0.8647496598639455
1.2,7.0,19.5,4,24.0,11.0,0.9425,0.8195652173913044,0.8767441860465117,754,46,166,12.0,10,0.8647441860465117
1.2,7.0,19.5,4,26.0,11.0,0.9425,0.8195652173913044,0.8767441860465117,754,46,166,12.0,10,0.8647441860465117
1.2,7.0,19.5,4,28.0,11.0,0.9425,0.8195652173913044,0.8767441860465117,754,46,166,12.0,10,0.8647441860465117
1.2,11.0,20.0,5,30.0,11.0,0.9425,0.8195652173913044,0.8767441860465117,754,46,166,12.0,10,0.8647441860465117
1.2,11.0,20.5,5,31.0,8.0,0.908235294117647,0.8391304347826087,0.8723163841807909,772,78,148,7.6,10,0.8647163841807909
1.2,11.0,19.5,4,30.0,11.0,0.9346485819975339,0.8239130434782609,0.87579433853264,758,53,162,11.1,10,0.86469433853264
